query_id,rank,candidate_id,final_score,S_dim,S_cat,CP,dims_used,config
8aff426d-b8c0-43aa-ad26-835ef4de6129,1,7d1ab305-7fc6-4ab0-bc2a-9ae1e038e67e,1.0,0.919454,1.0,1.0,"thickness, width, weight",cp_only
8aff426d-b8c0-43aa-ad26-835ef4de6129,2,b2bc544a-219d-4899-9fa4-191e3f475649,1.0,0.666667,0.5,1.0,"thickness, width, inner_diameter, weight",cp_only
8aff426d-b8c0-43aa-ad26-835ef4de6129,3,0222eb2e-ceb8-4967-9796-e220209c6b00,1.0,0.555556,0.5,1.0,"thickness, inner_diameter, weight",cp_only
37e624be-b125-464f-85b6-1838530193ef,1,25c46875-dbeb-4ef4-ad33-7aff8384fb2a,1.0,0.5,0.0,1.0,"thickness, width",cp_only
37e624be-b125-464f-85b6-1838530193ef,2,a3f38767-02ae-4990-be18-35ca819684a7,1.0,0.0,0.666667,1.0,"thickness, width",cp_only
37e624be-b125-464f-85b6-1838530193ef,3,56c75e72-50ae-4e29-aea4-f6394e1d986b,1.0,0.0,0.666667,1.0,"thickness, width",cp_only
b8257184-6307-46ab-b06e-d979336d1263,1,283974d5-071c-4122-a068-cd879af2b06d,1.0,0.5,0.666667,1.0,"thickness, width",cp_only
b8257184-6307-46ab-b06e-d979336d1263,2,41dce460-7b73-4340-aa02-c10a79198432,1.0,0.5,0.5,1.0,"thickness, width",cp_only
b8257184-6307-46ab-b06e-d979336d1263,3,f76753db-d647-4d96-811c-a0b4bb978fa7,1.0,0.25,0.5,1.0,"thickness, width",cp_only
63140d1f-dda8-40fe-8931-bcaba65d5772,1,11cffc57-44be-4d79-bfd5-97482be566d3,1.0,0.2,1.0,1.0,"thickness, length, height, outer_diameter, weight",cp_only
63140d1f-dda8-40fe-8931-bcaba65d5772,2,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,1.0,0.2,1.0,1.0,"thickness, length, height, outer_diameter, weight",cp_only
63140d1f-dda8-40fe-8931-bcaba65d5772,3,12779ba3-969c-48dc-97d8-33e72279f695,1.0,0.0,0.0,1.0,"thickness, length, height, weight",cp_only
11cffc57-44be-4d79-bfd5-97482be566d3,1,63140d1f-dda8-40fe-8931-bcaba65d5772,1.0,0.2,1.0,1.0,"thickness, length, height, outer_diameter, weight",cp_only
11cffc57-44be-4d79-bfd5-97482be566d3,2,75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,1.0,0.2,1.0,1.0,"thickness, length, height, outer_diameter, weight",cp_only
11cffc57-44be-4d79-bfd5-97482be566d3,3,12779ba3-969c-48dc-97d8-33e72279f695,1.0,0.0,0.0,1.0,"thickness, length, height, weight",cp_only
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,1,63140d1f-dda8-40fe-8931-bcaba65d5772,1.0,0.2,1.0,1.0,"thickness, length, height, outer_diameter, weight",cp_only
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,2,11cffc57-44be-4d79-bfd5-97482be566d3,1.0,0.2,1.0,1.0,"thickness, length, height, outer_diameter, weight",cp_only
75fae2b7-8107-4ce2-a9d5-1189b4cd3b21,3,12779ba3-969c-48dc-97d8-33e72279f695,1.0,0.0,0.0,1.0,"thickness, length, height, weight",cp_only
973d80a1-f1b8-461b-bb25-7d8852968b1c,1,8fe87807-dae8-4341-94fd-2ab91f176464,1.0,0.75,0.666667,1.0,"thickness, width, length, height",cp_only
973d80a1-f1b8-461b-bb25-7d8852968b1c,2,c322fc6c-240c-4c09-9b88-d4f2c2395244,1.0,0.5,0.333333,1.0,"thickness, width",cp_only
973d80a1-f1b8-461b-bb25-7d8852968b1c,3,c7dbd2da-a758-44ba-9e16-ee10ec99f631,1.0,0.5,0.0,1.0,"thickness, width",cp_only
8fe87807-dae8-4341-94fd-2ab91f176464,1,973d80a1-f1b8-461b-bb25-7d8852968b1c,1.0,0.75,0.666667,1.0,"thickness, width, length, height",cp_only
8fe87807-dae8-4341-94fd-2ab91f176464,2,c322fc6c-240c-4c09-9b88-d4f2c2395244,1.0,0.5,0.333333,1.0,"thickness, width",cp_only
8fe87807-dae8-4341-94fd-2ab91f176464,3,c7dbd2da-a758-44ba-9e16-ee10ec99f631,1.0,0.5,0.0,1.0,"thickness, width",cp_only
c18a7f01-1cb6-4987-a2cc-93251d3719b9,1,94147869-54e7-4573-a1e8-446456d92dec,1.0,1.0,0.0,1.0,thickness,cp_only
c18a7f01-1cb6-4987-a2cc-93251d3719b9,2,eb692c7e-4ed8-403c-9afa-f2d619884ac1,1.0,1.0,0.0,1.0,thickness,cp_only
c18a7f01-1cb6-4987-a2cc-93251d3719b9,3,328d43fd-537d-4839-8f3b-372a1f3b1cd5,1.0,1.0,0.0,1.0,thickness,cp_only
0777b4fd-292a-439b-848f-d772ee28c3b8,1,7be2d720-52c2-4f8a-a82a-2b90f535ad40,1.0,0.5,0.0,1.0,"thickness, width",cp_only
0777b4fd-292a-439b-848f-d772ee28c3b8,2,ddaf379f-3e20-42b5-a0a9-ad56cc4d6b5a,1.0,0.5,0.0,1.0,"thickness, width",cp_only
0777b4fd-292a-439b-848f-d772ee28c3b8,3,8cdb04ae-084c-4d2d-953d-6ba770f3041f,1.0,0.5,0.0,1.0,"thickness, width",cp_only
a0e91fd1-b00b-4ff7-8633-62657662b03b,1,973d80a1-f1b8-461b-bb25-7d8852968b1c,1.0,0.0,0.666667,1.0,,cp_only
a0e91fd1-b00b-4ff7-8633-62657662b03b,2,8fe87807-dae8-4341-94fd-2ab91f176464,1.0,0.0,0.666667,1.0,,cp_only
a0e91fd1-b00b-4ff7-8633-62657662b03b,3,63078462-b3a8-463c-8c44-301ec9d0d024,1.0,0.0,0.666667,1.0,,cp_only
84be5122-71d5-4a35-a912-fd2911e3c64f,1,0f595b0b-2253-4585-a672-fda592da7191,1.0,1.0,1.0,1.0,"thickness, width, inner_diameter, weight",cp_only
84be5122-71d5-4a35-a912-fd2911e3c64f,2,b954d3d2-f2d8-4b11-955e-31c7839517f5,1.0,1.0,1.0,1.0,"width, inner_diameter, weight",cp_only
84be5122-71d5-4a35-a912-fd2911e3c64f,3,9aaf3186-32e9-4b8c-a282-048549b03da6,1.0,1.0,0.5,1.0,inner_diameter,cp_only
0f595b0b-2253-4585-a672-fda592da7191,1,84be5122-71d5-4a35-a912-fd2911e3c64f,1.0,1.0,1.0,1.0,"thickness, width, inner_diameter, weight",cp_only
0f595b0b-2253-4585-a672-fda592da7191,2,b954d3d2-f2d8-4b11-955e-31c7839517f5,1.0,1.0,0.5,1.0,"width, inner_diameter, weight",cp_only
0f595b0b-2253-4585-a672-fda592da7191,3,9aaf3186-32e9-4b8c-a282-048549b03da6,1.0,1.0,0.0,1.0,inner_diameter,cp_only
920dcf5c-136f-4ffc-9449-03f00c1b5a46,1,dff7cdb0-f464-4b60-91ce-8d628f8ed4de,1.0,1.0,1.0,1.0,"thickness, width",cp_only
920dcf5c-136f-4ffc-9449-03f00c1b5a46,2,54439e37-9ca6-476c-825a-0304a9dfcb26,1.0,1.0,0.75,1.0,"thickness, width",cp_only
920dcf5c-136f-4ffc-9449-03f00c1b5a46,3,19019fb2-05f6-4267-aaf8-6fb9aff3fa83,1.0,1.0,0.333333,1.0,width,cp_only
facd942d-02a2-46bf-936c-e3afd39ee20d,1,178a48ef-f870-46d7-ba3c-c94b35477459,1.0,1.0,1.0,1.0,"thickness, width",cp_only
facd942d-02a2-46bf-936c-e3afd39ee20d,2,aad5ef88-18cc-4492-9506-09871a1b5245,1.0,1.0,1.0,1.0,"thickness, width",cp_only
facd942d-02a2-46bf-936c-e3afd39ee20d,3,ae16b3ef-575d-40af-b90c-ca2b5196b47e,1.0,1.0,1.0,1.0,"thickness, width",cp_only
140d30f7-f16d-4455-a448-516ab6616812,1,69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,1.0,1.0,1.0,1.0,thickness,cp_only
140d30f7-f16d-4455-a448-516ab6616812,2,0cf70763-c18a-4c9b-b5d9-f4cbb127190b,1.0,1.0,1.0,1.0,thickness,cp_only
140d30f7-f16d-4455-a448-516ab6616812,3,7ab57a66-1efb-4696-8c73-19a2e7dc1081,1.0,1.0,1.0,1.0,thickness,cp_only
178a48ef-f870-46d7-ba3c-c94b35477459,1,facd942d-02a2-46bf-936c-e3afd39ee20d,1.0,1.0,1.0,1.0,"thickness, width",cp_only
178a48ef-f870-46d7-ba3c-c94b35477459,2,aad5ef88-18cc-4492-9506-09871a1b5245,1.0,1.0,1.0,1.0,"thickness, width",cp_only
178a48ef-f870-46d7-ba3c-c94b35477459,3,ae16b3ef-575d-40af-b90c-ca2b5196b47e,1.0,1.0,1.0,1.0,"thickness, width",cp_only
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,1,140d30f7-f16d-4455-a448-516ab6616812,1.0,1.0,1.0,1.0,thickness,cp_only
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,2,0cf70763-c18a-4c9b-b5d9-f4cbb127190b,1.0,1.0,1.0,1.0,thickness,cp_only
69d1f6b7-dc43-4dfd-90da-507a8dfd23d2,3,7ab57a66-1efb-4696-8c73-19a2e7dc1081,1.0,1.0,1.0,1.0,thickness,cp_only
ca60a74b-7cdc-4098-a20c-2de916dcb66b,1,bed7c304-ce6c-4485-8629-574a2dbe32b3,1.0,1.0,0.5,1.0,thickness,cp_only
ca60a74b-7cdc-4098-a20c-2de916dcb66b,2,8453ab51-f78f-4b28-93a5-248068505454,1.0,0.0,0.5,1.0,weight,cp_only
ca60a74b-7cdc-4098-a20c-2de916dcb66b,3,2a8234dc-6c22-4bd5-8227-d5d95e0ee35f,1.0,0.0,0.0,1.0,weight,cp_only
df6085e7-42f9-4ce3-92b0-3a7a24159a61,1,cea2ffdc-7e8e-4697-acc0-f477287b6fb0,1.0,1.0,0.5,1.0,thickness,cp_only
df6085e7-42f9-4ce3-92b0-3a7a24159a61,2,e2b10107-3b01-4096-9e32-ff5b4b77f57f,1.0,2e-06,0.5,1.0,"thickness, weight",cp_only
